"type","no_of_genes","score","query"
"precision","3",0.734322319622387,"AND query"
"recall","3",0.566008316008316,"AND query"
"precision, tissue","3",0.998166819431714,"AND query"
"recall, tissue","3",0.566008316008316,"AND query"
"precision","4",0.760330578512397,"AND query"
"recall","4",0.43035343035343,"AND query"
"precision, tissue","4",0.998793727382388,"AND query"
"recall, tissue","4",0.43035343035343,"AND query"
"precision","5",0.777555110220441,"AND query"
"recall","5",0.403326403326403,"AND query"
"precision, tissue","5",0.998712998712999,"AND query"
"recall, tissue","5",0.403326403326403,"AND query"
"precision","1",0.298861480075901,"AND query"
"recall","1",0.657620041753653,"AND query"
"precision, tissue","1",0.598859315589354,"AND query"
"recall, tissue","1",0.657620041753653,"AND query"
"precision","2",0.590733590733591,"AND query"
"recall","2",0.319415448851775,"AND query"
"precision, tissue","2",0.869318181818182,"AND query"
"recall, tissue","2",0.319415448851775,"AND query"
"precision","3",0.881578947368421,"AND query"
"recall","3",0.139874739039666,"AND query"
"precision, tissue","3",0.957142857142857,"AND query"
"recall, tissue","3",0.139874739039666,"AND query"
"precision","4",0.881578947368421,"AND query"
"recall","4",0.139874739039666,"AND query"
"precision, tissue","4",0.957142857142857,"AND query"
"recall, tissue","4",0.139874739039666,"AND query"
"precision","5",0.875,"AND query"
"recall","5",0.0292275574112735,"AND query"
"precision, tissue","5",0.933333333333333,"AND query"
"recall, tissue","5",0.0292275574112735,"AND query"
"precision","1",0.226086956521739,"AND query"
"recall","1",0.403100775193798,"AND query"
"precision, tissue","1",0.896551724137931,"AND query"
"recall, tissue","1",0.403100775193798,"AND query"
"precision","2",0.345454545454545,"AND query"
"recall","2",0.147286821705426,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.147286821705426,"AND query"
"precision","3",0.339622641509434,"AND query"
"recall","3",0.13953488372093,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.13953488372093,"AND query"
"precision","4",0.28125,"AND query"
"recall","4",0.0697674418604651,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.0697674418604651,"AND query"
"precision","5",0.363636363636364,"AND query"
"recall","5",0.0310077519379845,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.0310077519379845,"AND query"
"precision","1",0.206451612903226,"AND query"
"recall","1",0.723981900452489,"AND query"
"precision, tissue","1",0.54421768707483,"AND query"
"recall, tissue","1",0.723981900452489,"AND query"
"precision","2",0.252595155709343,"AND query"
"recall","2",0.660633484162896,"AND query"
"precision, tissue","2",0.643171806167401,"AND query"
"recall, tissue","2",0.660633484162896,"AND query"
"precision","3",0.382838283828383,"AND query"
"recall","3",0.524886877828054,"AND query"
"precision, tissue","3",0.828571428571429,"AND query"
"recall, tissue","3",0.524886877828054,"AND query"
"precision","4",0.619718309859155,"AND query"
"recall","4",0.398190045248869,"AND query"
"precision, tissue","4",0.946236559139785,"AND query"
"recall, tissue","4",0.398190045248869,"AND query"
"precision","5",0.625954198473282,"AND query"
"recall","5",0.3710407239819,"AND query"
"precision, tissue","5",0.942528735632184,"AND query"
"recall, tissue","5",0.3710407239819,"AND query"
"precision","1",0.4,"AND query"
"recall","1",0.592592592592593,"AND query"
"precision, tissue","1",0.941176470588235,"AND query"
"recall, tissue","1",0.592592592592593,"AND query"
"precision","2",0.818181818181818,"AND query"
"recall","2",0.333333333333333,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.333333333333333,"AND query"
"precision","3",0.714285714285714,"AND query"
"recall","3",0.185185185185185,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.185185185185185,"AND query"
"precision","4",1,"AND query"
"recall","4",0.111111111111111,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.111111111111111,"AND query"
"precision","5",1,"AND query"
"recall","5",0.111111111111111,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.111111111111111,"AND query"
"precision","1",0.183579335793358,"AND query"
"recall","1",0.543715846994536,"AND query"
"precision, tissue","1",0.672297297297297,"AND query"
"recall, tissue","1",0.543715846994536,"AND query"
"precision","2",0.305439330543933,"AND query"
"recall","2",0.398907103825137,"AND query"
"precision, tissue","2",0.858823529411765,"AND query"
"recall, tissue","2",0.398907103825137,"AND query"
"precision","3",0.311881188118812,"AND query"
"recall","3",0.344262295081967,"AND query"
"precision, tissue","3",0.887323943661972,"AND query"
"recall, tissue","3",0.344262295081967,"AND query"
"precision","4",0.310483870967742,"AND query"
"recall","4",0.210382513661202,"AND query"
"precision, tissue","4",0.855555555555556,"AND query"
"recall, tissue","4",0.210382513661202,"AND query"
"precision","5",0.322368421052632,"AND query"
"recall","5",0.133879781420765,"AND query"
"precision, tissue","5",0.859649122807018,"AND query"
"recall, tissue","5",0.133879781420765,"AND query"
"precision","1",0.75609756097561,"AND query"
"recall","1",0.664285714285714,"AND query"
"precision, tissue","1",0.902912621359223,"AND query"
"recall, tissue","1",0.664285714285714,"AND query"
"precision","2",1,"AND query"
"recall","2",0.542857142857143,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.542857142857143,"AND query"
"precision","3",1,"AND query"
"recall","3",0.521428571428571,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.521428571428571,"AND query"
"precision","4",1,"AND query"
"recall","4",0.435714285714286,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.435714285714286,"AND query"
"precision","5",1,"AND query"
"recall","5",0.414285714285714,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.414285714285714,"AND query"
"precision","1",0.320754716981132,"AND query"
"recall","1",0.194285714285714,"AND query"
"precision, tissue","1",0.641509433962264,"AND query"
"recall, tissue","1",0.194285714285714,"AND query"
"precision","2",1,"AND query"
"recall","2",0.0514285714285714,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.0514285714285714,"AND query"
"precision","3",1,"AND query"
"recall","3",0.0514285714285714,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.0514285714285714,"AND query"
"precision","4",1,"AND query"
"recall","4",0.04,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.04,"AND query"
"precision","5",1,"AND query"
"recall","5",0.0342857142857143,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.0342857142857143,"AND query"
"precision","1",0.47200821777093,"AND query"
"recall","1",0.724763406940063,"AND query"
"precision, tissue","1",0.899217221135029,"AND query"
"recall, tissue","1",0.724763406940063,"AND query"
"precision","2",0.596599690880989,"AND query"
"recall","2",0.608832807570978,"AND query"
"precision, tissue","2",0.932367149758454,"AND query"
"recall, tissue","2",0.608832807570978,"AND query"
"precision","3",0.688665710186514,"AND query"
"recall","3",0.378548895899054,"AND query"
"precision, tissue","3",0.96,"AND query"
"recall, tissue","3",0.378548895899054,"AND query"
"precision","4",0.676666666666667,"AND query"
"recall","4",0.32018927444795,"AND query"
"precision, tissue","4",0.959810874704492,"AND query"
"recall, tissue","4",0.32018927444795,"AND query"
"precision","5",0.686335403726708,"AND query"
"recall","5",0.174290220820189,"AND query"
"precision, tissue","5",0.991031390134529,"AND query"
"recall, tissue","5",0.174290220820189,"AND query"
"precision","1",0.13953488372093,"AND query"
"recall","1",0.193548387096774,"AND query"
"precision, tissue","1",0.545454545454545,"AND query"
"recall, tissue","1",0.193548387096774,"AND query"
"precision","1",0.118279569892473,"AND query"
"recall","1",1,"AND query"
"precision, tissue","1",0.189655172413793,"AND query"
"recall, tissue","1",1,"AND query"
"precision","2",0.121951219512195,"AND query"
"recall","2",0.909090909090909,"AND query"
"precision, tissue","2",0.185185185185185,"AND query"
"recall, tissue","2",0.909090909090909,"AND query"
"precision","3",0.105263157894737,"AND query"
"recall","3",0.181818181818182,"AND query"
"precision, tissue","3",0.222222222222222,"AND query"
"recall, tissue","3",0.181818181818182,"AND query"
"precision","4",1,"AND query"
"recall","4",0.0909090909090909,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.0909090909090909,"AND query"
"precision","1",0.621298701298701,"AND query"
"recall","1",0.573071394345951,"AND query"
"precision, tissue","1",0.834030683403068,"AND query"
"recall, tissue","1",0.573071394345951,"AND query"
"precision","2",0.744366197183099,"AND query"
"recall","2",0.506468615237183,"AND query"
"precision, tissue","2",0.928007023705004,"AND query"
"recall, tissue","2",0.506468615237183,"AND query"
"precision","3",0.917391304347826,"AND query"
"recall","3",0.303306181121227,"AND query"
"precision, tissue","3",0.925438596491228,"AND query"
"recall, tissue","3",0.303306181121227,"AND query"
"precision","4",0.909448818897638,"AND query"
